objectid;fid;code_insee;reg;dep;cv;ze2010;libgeo;p11_tot;p06_tot;p11_0014;p11_1529;p11_3044;p11_4559;p11_6074;p11_75p;p06_0014;p06_1529;p06_3044;p06_4559;p06_6074;p06_75p
36106;36105;Vaïssac;22;2;221;2204;29188;382;378;83;53;91;85;46;22;80;60;103;76;34;26
36208;36207;Ingwiller;22;2;236;56;57089;407;394;77;79;76;95;52;28;83;77;93;69;47;25
36222;36221;15126;22;2;221;2204;Molèdes;46;69;7;5;6;16;10;2;15;13;20;12;8;1
36253;36252;30090;22;2;233;2205;Douchy;151;144;39;31;31;24;16;11;34;25;32;21;17;13
36270;36269;85137;22;2;240;2205;8509;451;441;86;47;85;126;82;25;80;62;84;137;55;24
36278;36277;3035;22;2;210;2201;308;147;158;37;10;34;32;18;16;34;18;37;39;17;13
36303;36302;Lacroix-sur-Meuse;22;2;201;2204;21026;149;148;33;21;28;36;24;7;34;23;33;35;20;4
36375;36374;La Cadière-et-Cambo;22;2;222;56;34042;53;49;11;10;7;12;10;4;9;10;11;8;9;3
36434;36433;59508;22;2;238;2204;5961;53;48;8;9;9;9;14;4;6;6;10;10;12;4
36524;36523;22369;22;2;215;2201;Trémeur;95;91;27;6;21;20;12;9;26;10;22;20;8;6
36525;36524;35326;22;2;203;2205;Sens-de-Bretagne;304;285;76;44;57;75;31;21;62;50;63;56;33;21
36536;36535;Nonsard-Lamarche;22;2;230;2204;Boncourt;254;233;47;43;49;69;29;17;36;51;46;58;27;15
